"ship_type","fuel_type","year","consumption"
"B","RefPO",2040,1083.72165999843
"B","H2",2040,401.61449752883
"G","Oil",2040,1039.85171455051
"G","LNG",2040,857.87766450417
"G","LPG",2040,924.312635156008
"G","MeOH",2040,248.104970489244
"G","NH3",2040,344.226774471893
"G","RefPO",2040,924.312635156008
"G","H2",2040,470.409108963326
"O","Oil",2040,559.297543625653
"O","LNG",2040,524.34144714905
"O","LPG",2040,543.761500747163
"O","MeOH",2040,161.901920523215
"O","NH3",2040,231.433466327856
"O","RefPO",2040,665.830409078158
"O","H2",2040,349.560964766033
"C","Oil",2041,896.129330254041
"C","LNG",2041,689.33025404157
"C","LPG",2041,842.514754939697
"C","MeOH",2041,235.82350796159
"C","NH3",2041,332.780122640758
"C","RefPO",2041,853.456505003849
"C","H2",2041,426.728252501925
"T","Oil",2041,1075.53875236295
"T","LNG",2041,1008.31758034026
"T","LPG",2041,970.972484772107
"T","MeOH",2041,229.967167446025
"T","NH3",2041,301.33628837755
"T","RefPO",2041,960.302457466919
"T","H2",2041,576.181474480151
"B","Oil",2041,1190.66886326194
"B","LNG",2041,1240.28006589786
"B","LPG",2041,1102.47116968698
"B","MeOH",2041,292.444983959074
"B","NH3",2041,401.451570754985
"B","RefPO",2041,1070.97199341021
"B","H2",2041,396.889621087315
"G","Oil",2041,1027.61816496756
"G","LNG",2041,847.784986098239
"G","LPG",2041,913.438368860056
"G","MeOH",2041,245.186088483489
"G","NH3",2041,340.1770477134
"G","RefPO",2041,913.438368860055
"G","H2",2041,464.874884151993
"O","Oil",2041,552.717572524175
"O","LNG",2041,518.172724241414
"O","LPG",2041,537.364306620725
"O","MeOH",2041,159.997192046472
"O","NH3",2041,228.710719665176
"O","RefPO",2041,657.997110147827
"O","H2",2041,345.448482827609
"C","Oil",2042,885.461123941493
"C","LNG",2042,681.123941493456
"C","LPG",2042,832.484817380891
"C","MeOH",2042,233.016085247761
"C","NH3",2042,328.818454514082
"C","RefPO",2042,843.296308515708
"C","H2",2042,421.648154257854
"T","Oil",2042,1062.73471959672
"T","LNG",2042,996.313799621928
"T","LPG",2042,959.41328852482
"T","MeOH",2042,227.229463071668
"T","NH3",2042,297.748951611151
